"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2565.9618048,0,0,2565.9618048,2,1,2565.9618048,2,2,2565.9618048,2,3,2565.9618048,2,4,2565.9618048,2,5,2565.9618048,2,6,2565.9618048,3,1,2565.9618048,3,2,2565.9618048,3,3,2565.9618048,3,4,2565.9618048,3,5,2565.9618048,3,6,2565.9618048,4,1,2565.9618048,4,2,2565.9618048,4,3,2565.9618048,4,4,2565.9618048,4,5,2565.9618048,4,6,2565.9618048,5,1,2565.9618048,5,2,2565.9618048,5,3,2565.9618048,5,4,2565.9618048,5,5,2565.9618048,5,6,2565.9618048,6,1,2565.9618048,6,2,2565.9618048,6,3,2565.9618048,6,4,2565.9618048,6,5,2565.9618048,6,6,2565.9618048,7,1,2565.9618048,7,2,2565.9618048,7,3,2565.9618048,7,4,2565.9618048,7,5,2565.9618048,7,6
4157.15302555424,0,0,4157.15302555424,2,1,4157.15302555424,2,2,4157.15302555424,2,3,4157.15302555424,2,4,4157.15302555424,2,5,4157.15302555424,2,6,4157.15302555424,3,1,4157.15302555424,3,2,4157.15302555424,3,3,4157.15302555424,3,4,4157.15302555424,3,5,4157.15302555424,3,6,4157.15302555424,4,1,4157.15302555424,4,2,4157.15302555424,4,3,4157.15302555424,4,4,4157.15302555424,4,5,4157.15302555424,4,6,4157.15302555424,5,1,4157.15302555424,5,2,4157.15302555424,5,3,4157.15302555424,5,4,4157.15302555424,5,5,4157.15302555424,5,6,4157.15302555424,6,1,4157.15302555424,6,2,4157.15302555424,6,3,4157.15302555424,6,4,4157.15302555424,6,5,4157.15302555424,6,6,4157.15302555424,7,1,4157.15302555424,7,2,4157.15302555424,7,3,4157.15302555424,7,4,4157.15302555424,7,5,4157.15302555424,7,6
3146.48762585305,0,0,3146.48762585305,2,1,3146.48762585305,2,2,3146.48762585305,2,3,3146.48762585305,2,4,3146.48762585305,2,5,3146.48762585305,2,6,3146.48762585305,3,1,3146.48762585305,3,2,3146.48762585305,3,3,3146.48762585305,3,4,3146.48762585305,3,5,3146.48762585305,3,6,3146.48762585305,4,1,3146.48762585305,4,2,3146.48762585305,4,3,3146.48762585305,4,4,3146.48762585305,4,5,3146.48762585305,4,6,3146.48762585305,5,1,3146.48762585305,5,2,3146.48762585305,5,3,3146.48762585305,5,4,3146.48762585305,5,5,3146.48762585305,5,6,3146.48762585305,6,1,3146.48762585305,6,2,3146.48762585305,6,3,3146.48762585305,6,4,3146.48762585305,6,5,3146.48762585305,6,6,3146.48762585305,7,1,3146.48762585305,7,2,3146.48762585305,7,3,3146.48762585305,7,4,3146.48762585305,7,5,3146.48762585305,7,6
2402.17829551663,0,0,2402.17829551663,2,1,2402.17829551663,2,2,2402.17829551663,2,3,2402.17829551663,2,4,2402.17829551663,2,5,2402.17829551663,2,6,2402.17829551663,3,1,2402.17829551663,3,2,2402.17829551663,3,3,2402.17829551663,3,4,2402.17829551663,3,5,2402.17829551663,3,6,2402.17829551663,4,1,2402.17829551663,4,2,2402.17829551663,4,3,2402.17829551663,4,4,2402.17829551663,4,5,2402.17829551663,4,6,2402.17829551663,5,1,2402.17829551663,5,2,2402.17829551663,5,3,2402.17829551663,5,4,2402.17829551663,5,5,2402.17829551663,5,6,2402.17829551663,6,1,2402.17829551663,6,2,2402.17829551663,6,3,2402.17829551663,6,4,2402.17829551663,6,5,2402.17829551663,6,6,2402.17829551663,7,1,2402.17829551663,7,2,2402.17829551663,7,3,2402.17829551663,7,4,2402.17829551663,7,5,2402.17829551663,7,6
1851.95601067082,0,0,1851.95601067082,2,1,1851.95601067082,2,2,1851.95601067082,2,3,1851.95601067082,2,4,1851.95601067082,2,5,1851.95601067082,2,6,1851.95601067082,3,1,1851.95601067082,3,2,1851.95601067082,3,3,1851.95601067082,3,4,1851.95601067082,3,5,1851.95601067082,3,6,1851.95601067082,4,1,1851.95601067082,4,2,1851.95601067082,4,3,1851.95601067082,4,4,1851.95601067082,4,5,1851.95601067082,4,6,1851.95601067082,5,1,1851.95601067082,5,2,1851.95601067082,5,3,1851.95601067082,5,4,1851.95601067082,5,5,1851.95601067082,5,6,1851.95601067082,6,1,1851.95601067082,6,2,1851.95601067082,6,3,1851.95601067082,6,4,1851.95601067082,6,5,1851.95601067082,6,6,1851.95601067082,7,1,1851.95601067082,7,2,1851.95601067082,7,3,1851.95601067082,7,4,1851.95601067082,7,5,1851.95601067082,7,6
1443.36943651799,0,0,1443.36943651799,2,1,1443.36943651799,2,2,1443.36943651799,2,3,1443.36943651799,2,4,1443.36943651799,2,5,1443.36943651799,2,6,1443.36943651799,3,1,1443.36943651799,3,2,1443.36943651799,3,3,1443.36943651799,3,4,1443.36943651799,3,5,1443.36943651799,3,6,1443.36943651799,4,1,1443.36943651799,4,2,1443.36943651799,4,3,1443.36943651799,4,4,1443.36943651799,4,5,1443.36943651799,4,6,1443.36943651799,5,1,1443.36943651799,5,2,1443.36943651799,5,3,1443.36943651799,5,4,1443.36943651799,5,5,1443.36943651799,5,6,1443.36943651799,6,1,1443.36943651799,6,2,1443.36943651799,6,3,1443.36943651799,6,4,1443.36943651799,6,5,1443.36943651799,6,6,1443.36943651799,7,1,1443.36943651799,7,2,1443.36943651799,7,3,1443.36943651799,7,4,1443.36943651799,7,5,1443.36943651799,7,6
1138.58307727782,0,0,1138.58307727782,2,1,1138.58307727782,2,2,1138.58307727782,2,3,1138.58307727782,2,4,1138.58307727782,2,5,1138.58307727782,2,6,1138.58307727782,3,1,1138.58307727782,3,2,1138.58307727782,3,3,1138.58307727782,3,4,1138.58307727782,3,5,1138.58307727782,3,6,1138.58307727782,4,1,1138.58307727782,4,2,1138.58307727782,4,3,1138.58307727782,4,4,1138.58307727782,4,5,1138.58307727782,4,6,1138.58307727782,5,1,1138.58307727782,5,2,1138.58307727782,5,3,1138.58307727782,5,4,1138.58307727782,5,5,1138.58307727782,5,6,1138.58307727782,6,1,1138.58307727782,6,2,1138.58307727782,6,3,1138.58307727782,6,4,1138.58307727782,6,5,1138.58307727782,6,6,1138.58307727782,7,1,1138.58307727782,7,2,1138.58307727782,7,3,1138.58307727782,7,4,1138.58307727782,7,5,1138.58307727782,7,6
910.105918911428,0,0,910.105918911428,2,1,910.105918911428,2,2,910.105918911428,2,3,910.105918911428,2,4,910.105918911428,2,5,910.105918911428,2,6,910.105918911428,3,1,910.105918911428,3,2,910.105918911428,3,3,910.105918911428,3,4,910.105918911428,3,5,910.105918911428,3,6,910.105918911428,4,1,910.105918911428,4,2,910.105918911428,4,3,910.105918911428,4,4,910.105918911428,4,5,910.105918911428,4,6,910.105918911428,5,1,910.105918911428,5,2,910.105918911428,5,3,910.105918911428,5,4,910.105918911428,5,5,910.105918911428,5,6,910.105918911428,6,1,910.105918911428,6,2,910.105918911428,6,3,910.105918911428,6,4,910.105918911428,6,5,910.105918911428,6,6,910.105918911428,7,1,910.105918911428,7,2,910.105918911428,7,3,910.105918911428,7,4,910.105918911428,7,5,910.105918911428,7,6
738.201803716409,0,0,738.201803716409,2,1,738.201803716409,2,2,738.201803716409,2,3,738.201803716409,2,4,738.201803716409,2,5,738.201803716409,2,6,738.201803716409,3,1,738.201803716409,3,2,738.201803716409,3,3,738.201803716409,3,4,738.201803716409,3,5,738.201803716409,3,6,738.201803716409,4,1,738.201803716409,4,2,738.201803716409,4,3,738.201803716409,4,4,738.201803716409,4,5,738.201803716409,4,6,738.201803716409,5,1,738.201803716409,5,2,738.201803716409,5,3,738.201803716409,5,4,738.201803716409,5,5,738.201803716409,5,6,738.201803716409,6,1,738.201803716409,6,2,738.201803716409,6,3,738.201803716409,6,4,738.201803716409,6,5,738.201803716409,6,6,738.201803716409,7,1,738.201803716409,7,2,738.201803716409,7,3,738.201803716409,7,4,738.201803716409,7,5,738.201803716409,7,6
608.486926175198,0,0,608.486926175198,2,1,608.486926175198,2,2,608.486926175198,2,3,608.486926175198,2,4,608.486926175198,2,5,608.486926175198,2,6,608.486926175198,3,1,608.486926175198,3,2,608.486926175198,3,3,608.486926175198,3,4,608.486926175198,3,5,608.486926175198,3,6,608.486926175198,4,1,608.486926175198,4,2,608.486926175198,4,3,608.486926175198,4,4,608.486926175198,4,5,608.486926175198,4,6,608.486926175198,5,1,608.486926175198,5,2,608.486926175198,5,3,608.486926175198,5,4,608.486926175198,5,5,608.486926175198,5,6,608.486926175198,6,1,608.486926175198,6,2,608.486926175198,6,3,608.486926175198,6,4,608.486926175198,6,5,608.486926175198,6,6,608.486926175198,7,1,608.486926175198,7,2,608.486926175198,7,3,608.486926175198,7,4,608.486926175198,7,5,608.486926175198,7,6
